zip,state,CO2
02905,RI,728
02906,RI,728
02907,RI,728
02908,RI,728
02909,RI,728
02910,RI,728
02911,RI,728
02912,RI,728
02914,RI,728
02915,RI,728
02916,RI,728
02917,RI,728
02918,RI,728
02919,RI,728
02920,RI,728
02921,RI,728
02940,RI,728
03031,NH,728
03032,NH,728
03033,NH,728
03034,NH,728
03036,NH,728
03037,NH,728
03038,NH,728
03040,NH,728
03041,NH,728
03042,NH,728
03043,NH,728
03044,NH,728
03045,NH,728
03046,NH,728
03047,NH,728
03048,NH,728
03049,NH,728
03051,NH,728
03052,NH,728
03053,NH,728
03054,NH,728
03055,NH,728
03057,NH,728
03060,NH,728
03061,NH,728
03062,NH,728
03063,NH,728
03064,NH,728
03070,NH,728
03071,NH,728
03073,NH,728
03076,NH,728
03077,NH,728
03079,NH,728
03082,NH,728
03084,NH,728
03086,NH,728
03087,NH,728
03101,NH,728
03102,NH,728
03103,NH,728
03104,NH,728
03105,NH,728
03106,NH,728
03107,NH,728
03108,NH,728
03109,NH,728
03110,NH,728
03111,NH,728
03215,NH,728
03216,NH,728
03217,NH,728
03218,NH,728
03220,NH,728
03221,NH,728
03222,NH,728
03223,NH,728
03224,NH,728
03225,NH,728
03226,NH,728
03227,NH,728
03229,NH,728
03230,NH,728
03231,NH,728
03233,NH,728
03234,NH,728
03235,NH,728
03237,NH,728
03238,NH,728
03240,NH,728
03241,NH,728
03242,NH,728
03243,NH,728
03244,NH,728
03245,NH,728
03246,NH,728
03247,NH,728
03249,NH,728
03251,NH,728
03252,NH,728
03253,NH,728
03254,NH,728
03255,NH,728
03256,NH,728
03257,NH,728
03258,NH,728
03259,NH,728
03260,NH,728
03261,NH,728
03262,NH,728
03263,NH,728
03264,NH,728
03266,NH,728
03268,NH,728
03269,NH,728
03272,NH,728
03273,NH,728
03274,NH,728
03275,NH,728
03276,NH,728
03278,NH,728
03279,NH,728
03280,NH,728
03281,NH,728
03282,NH,728
03284,NH,728
03285,NH,728
03287,NH,728
03289,NH,728
03290,NH,728
03291,NH,728
03293,NH,728
03298,NH,728
03299,NH,728
03301,NH,728
03302,NH,728
03303,NH,728
03304,NH,728
03305,NH,728
03307,NH,728
03431,NH,728
03435,NH,728
03440,NH,728
03441,NH,728
